,Source,Target,Type,Id,Label,timeset,Weight,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,date,link,tweet,before/after,target,source
0,nyman_heidi,TremendaRomi,Directed,0,,,1,57,57,57,2017-09-16,"('nyman_heidi', 'TremendaRomi')",rt @tremendaromi: hoy es sábado y mi cuerpo lo sabe! @diallatino con @mjaledon_ ya preparada para bailar con @chayannemusic y los dem…,,TremendaRomi,nyman_heidi
1,nyman_heidi,diallatino,Directed,1,,,1,58,58,58,2017-09-16,"('nyman_heidi', 'diallatino')",rt @tremendaromi: hoy es sábado y mi cuerpo lo sabe! @diallatino con @mjaledon_ ya preparada para bailar con @chayannemusic y los dem…,,diallatino,nyman_heidi
2,nyman_heidi,MJAledon_,Directed,2,,,1,59,59,59,2017-09-16,"('nyman_heidi', 'MJAledon_')",rt @tremendaromi: hoy es sábado y mi cuerpo lo sabe! @diallatino con @mjaledon_ ya preparada para bailar con @chayannemusic y los dem…,,MJAledon_,nyman_heidi
3,nyman_heidi,CHAYANNEMUSIC,Directed,3,,,8,82386,289,289,2017-10-14,"('nyman_heidi', 'CHAYANNEMUSIC')","rt @enconcreto_mx: #entérate @chayannemusic recauda fondos para ayudar a su país. 
https://t.co/x7a3zmporl https://t.co/d9hk4mj3ds",,CHAYANNEMUSIC,nyman_heidi
6,daneirism,pamelamedinav,Directed,6,,,1,304,304,304,2017-09-16,"('daneirism', 'pamelamedinav')",@pamelamedinav @enriquermrez hermana azul por favor prepare su kit... pañuelo para secar lágrimas amarillas. mentio… https://t.co/zh1nvsbry8,,pamelamedinav,daneirism
7,daneirism,EnriqueRmrez,Directed,7,,,1,305,305,305,2017-09-16,"('daneirism', 'EnriqueRmrez')",@pamelamedinav @enriquermrez hermana azul por favor prepare su kit... pañuelo para secar lágrimas amarillas. mentio… https://t.co/zh1nvsbry8,,EnriqueRmrez,daneirism
8,TAKEBACKOCH,bbcmundo,Directed,8,,,1,307,307,307,2017-09-16,"('TAKEBACKOCH', 'bbcmundo')","rt @bbcmundo: #miami parecía sumergida por las aguas, luego del paso del huracán #irma https://t.co/7juavhoa3t",,bbcmundo,TAKEBACKOCH
9,AnalizMateo,TelenoticiasPR,Directed,9,,,2,67107,2655,2655,2017-10-08,"('AnalizMateo', 'TelenoticiasPR')","rt @telenoticiaspr: congresistas sobrevuelan ocho municipios y se comprometen a ayudar-
 https://t.co/dwdmc39n91 https://t.co/f1y9apeiem",,TelenoticiasPR,AnalizMateo
10,GladysBecerra1,cdocogum,Directed,10,,,2,20678,1259,1257,2017-09-22,"('GladysBecerra1', 'cdocogum')","rt @cdocogum: acostumbrados a q samper los ayudaba, hipocrecía comunista le achaca a uribe el paramilitarismo pq los persiguió como lo q so…",,cdocogum,GladysBecerra1
12,Lyliane_M,elnuevoherald,Directed,12,,,5,36078,2265,2265,2017-09-27,"('Lyliane_M', 'elnuevoherald')",rt @elnuevoherald: trump evalúa suspender temporalmente la ‘ley jones’ para ayudar a la recuperación de puerto rico…,,elnuevoherald,Lyliane_M
